,Unnamed: 0,STATION,LATITUDE,LONGITUDE,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STCT_FIPS
37,1339,COOP:041682,34.23333,-118.61667,POINT (-118.61667 34.23333),23328,06,037,980023,1,060379800231,Block Group 1,G5030,S,2864231,2355864,+34.2367861,-118.6324389,06037
38,1377,COOP:041715,39.68333,-121.81667,POINT (-121.81667 39.68333),5186,06,007,001500,1,060070015001,Block Group 1,G5030,S,31122896,0,+39.6731877,-121.8220050,06007
39,1400,COOP:041754,34.8,-119.01667,POINT (-119.01667 34.8),4580,06,111,009700,3,061110097003,Block Group 3,G5030,S,2375350811,8245954,+34.6431484,-119.1344396,06111
112,4726,COOP:045417,34.48333,-119.3,POINT (-119.3 34.48333),4580,06,111,009700,3,061110097003,Block Group 3,G5030,S,2375350811,8245954,+34.6431484,-119.1344396,06111
137,5827,COOP:046577,34.68333,-119.35,POINT (-119.35 34.68333),4580,06,111,009700,3,061110097003,Block Group 3,G5030,S,2375350811,8245954,+34.6431484,-119.1344396,06111
145,6144,COOP:046910,34.6,-119.35,POINT (-119.35 34.6),4580,06,111,009700,3,061110097003,Block Group 3,G5030,S,2375350811,8245954,+34.6431484,-119.1344396,06111
231,2365,COOP:043219,34.73333,-119.1,POINT (-119.1 34.73333),4580,06,111,009700,3,061110097003,Block Group 3,G5030,S,2375350811,8245954,+34.6431484,-119.1344396,06111
40,1449,COOP:041839,38.78333,-123.01667,POINT (-123.01667 38.78333),1592,06,097,154202,4,060971542024,Block Group 4,G5030,S,22675434,3094315,+38.7803586,-123.0512186,06097
41,1496,COOP:041864,36.13333,-120.36667,POINT (-120.36667 36.13333),9570,06,019,008000,3,060190080003,Block Group 3,G5030,S,899885,0,+36.1331735,-120.3729040,06019
42,1522,COOP:041886,41.08333,-122.71667,POINT (-122.71667 41.08333),18961,06,105,000102,1,061050001021,Block Group 1,G5030,S,1114946751,1461374,+41.0094190,-122.8214045,06105
43,1590,COOP:042012,36.1,-119.56667,POINT (-119.56667 36.1),12013,06,031,001500,3,060310015003,Block Group 3,G5030,S,507265,0,+36.1016356,-119.5685927,06031
44,1610,COOP:042048,36.98333,-121.8,POINT (-121.8 36.98333),21764,06,087,122401,1,060871224011,Block Group 1,G5030,S,69996988,52281,+37.0200311,-121.7821324,06087
45,1657,COOP:042084,39.83333,-123.08333,POINT (-123.08333 39.83333),13369,06,045,010100,1,060450101001,Block Group 1,G5030,S,1956878778,2625493,+39.7629881,-123.1572763,06045
46,1722,COOP:042164,34.23333,-117.3,POINT (-117.3 34.23333),24004,06,071,010805,1,060710108051,Block Group 1,G5030,S,197318757,3666001,+34.2714653,-117.3552427,06071
47,1774,COOP:042239,32.98333,-116.58333,POINT (-116.58333 32.98333),6881,06,073,020902,1,060730209021,Block Group 1,G5030,S,400719117,7987272,+32.9501590,-116.6293750,06073
48,1825,COOP:042255,34.86667,-116.85,POINT (-116.85 34.86667),8707,06,071,010300,4,060710103004,Block Group 4,G5030,S,113869610,643726,+34.9025327,-116.7324844,06071
246,1939,COOP:042257,34.85361,-116.78583,POINT (-116.78583 34.85361),8707,06,071,010300,4,060710103004,Block Group 4,G5030,S,113869610,643726,+34.9025327,-116.7324844,06071
49,1836,COOP:042294,38.53333,-121.78333,POINT (-121.78333 38.53333),9421,06,113,010501,1,061130105011,Block Group 1,G5030,S,9707197,0,+38.5366941,-121.7958539,06113
50,1887,COOP:042306,41.21667,-121.38333,POINT (-121.38333 41.21667),18361,06,049,000200,2,060490002002,Block Group 2,G5030,S,1322680127,25460729,+41.3117069,-121.1804989,06049
51,1926,COOP:042362,36.6,-121.86667,POINT (-121.86667 36.6),443,06,053,013300,2,060530133002,Block Group 2,G5030,S,1155996,403212,+36.6071019,-121.8627902,06053
52,1956,COOP:042500,39.56667,-120.83333,POINT (-120.83333 39.56667),17654,06,091,010000,4,060910100004,Block Group 4,G5030,S,793690961,4403561,+39.6614460,-120.7952838,06091
53,2019,COOP:042713,32.76667,-115.56667,POINT (-115.56667 32.76667),2788,06,025,011803,2,060250118032,Block Group 2,G5030,S,2854606,23943,+32.7593854,-115.5579906,06025
54,2043,COOP:042749,41.98333,-123.71667,POINT (-123.71667 41.98333),7353,06,015,000202,3,060150002023,Block Group 3,G5030,S,877787024,1279647,+41.9212691,-123.8176567,06015
68,2817,COOP:043357,41.85,-123.96667,POINT (-123.96667 41.85),7353,06,015,000202,3,060150002023,Block Group 3,G5030,S,877787024,1279647,+41.9212691,-123.8176567,06015
55,2116,COOP:042805,33.66667,-117.33333,POINT (-117.33333 33.66667),5999,06,065,043006,1,060650430061,Block Group 1,G5030,S,1065139,0,+33.6708192,-117.3347045,06065
56,2152,COOP:042895,34.13333,-117.51667,POINT (-117.51667 34.13333),24478,06,071,002046,1,060710020461,Block Group 1,G5030,S,1655854,0,+34.1258251,-117.5193328,06071
57,2191,COOP:042899,41.45,-122.9,POINT (-122.9 41.45),7813,06,093,000800,4,060930008004,Block Group 4,G5030,S,630224339,2677517,+41.5507626,-123.1450715,06093
58,2262,COOP:042910,40.8,-124.16667,POINT (-124.16667 40.8),21268,06,023,000100,2,060230001002,Block Group 2,G5030,S,323390,0,+40.7971917,-124.1656006,06023
59,2371,COOP:042935,38.28333,-122.03333,POINT (-122.03333 38.28333),14244,06,095,252313,2,060952523132,Block Group 2,G5030,S,962395,6225,+38.2871358,-122.0271103,06095
60,2409,COOP:043038,38.52361,-120.70611,POINT (-120.70611 38.52361),24512,06,005,000202,2,060050002022,Block Group 2,G5030,S,68040430,0,+38.4971996,-120.6480024,06005
61,2466,COOP:043048,34.73333,-120.0,POINT (-120 34.73333),6153,06,083,001905,1,060830019051,Block Group 1,G5030,S,306607399,169430,+34.7043400,-120.0260903,06083
63,2548,COOP:043161,39.51667,-123.76667,POINT (-123.76667 39.51667),21740,06,045,010300,5,060450103005,Block Group 5,G5030,S,421465234,1471246,+39.4439782,-123.6083366,06045
64,2628,COOP:043182,41.6,-122.85,POINT (-122.85 41.6),18454,06,093,000600,1,060930006001,Block Group 1,G5030,S,1559876,0,+41.6084521,-122.8410656,06093
65,2690,COOP:043194,40.21667,-123.63333,POINT (-123.63333 40.21667),14688,06,023,011600,6,060230116006,Block Group 6,G5030,S,496577110,2192952,+40.2895263,-123.7088430,06023
66,2738,COOP:043257,36.78333,-119.71667,POINT (-119.71667 36.78333),5671,06,019,003104,2,060190031042,Block Group 2,G5030,S,9272971,40460,+36.7768768,-119.7185951,06019
67,2775,COOP:043285,33.9,-117.88333,POINT (-117.88333 33.9),11742,06,059,001505,1,060590015051,Block Group 1,G5030,S,1133688,11946,+33.8997719,-117.8858051,06059
70,2938,COOP:043402,34.51667,-119.68333,POINT (-119.68333 34.51667),9981,06,083,001800,1,060830018001,Block Group 1,G5030,S,3000323746,20559468,+34.7998268,-119.7847135,06083
129,5476,COOP:046154,34.95,-119.68333,POINT (-119.68333 34.95),9981,06,083,001800,1,060830018001,Block Group 1,G5030,S,3000323746,20559468,+34.7998268,-119.7847135,06083
71,2979,COOP:043419,37.03333,-121.43333,POINT (-121.43333 37.03333),20632,06,085,513500,1,060855135001,Block Group 1,G5030,S,1528907501,9778597,+37.2480990,-121.5279664,06085
72,3030,COOP:043465,35.73333,-118.68333,POINT (-118.68333 35.73333),4160,06,029,005208,3,060290052083,Block Group 3,G5030,S,1369607719,468157,+35.6581612,-118.8185423,06029
